gene_id,yH1053.Scer.noPi.0m.rep1,yH1053.Scer.noPi.0m.rep2,yH1053.Scer.noPi.15m.rep1,yH1053.Scer.noPi.15m.rep2,yH1053.Scer.noPi.30m.rep1,yH1053.Scer.noPi.30m.rep2,yH1053.Scer.noPi.45m.rep1,yH1053.Scer.noPi.45m.rep2,yH1053.Scer.noPi.60m.rep1,yH1053.Scer.noPi.60m.rep2,yH1053.Scer.noPi.90m.rep1,yH1053.Scer.noPi.90m.rep2,yH1053.Scer.noPi.120m.rep1,yH1053.Scer.noPi.120m.rep2,yH1053.Scer.noPi.180m.rep1,yH1053.Scer.noPi.180m.rep2,yH1053.Scer.noPi.240m.rep1,yH1053.Scer.noPi.240m.rep2,yH1053.Scer.noPi.360m.rep1,yH1053.Scer.noPi.360m.rep2,yH1053.Scer.noPi.480m.rep1,yH1053.Scer.noPi.480m.rep2,yH1053.Scer.mock.30m.rep1,yH1053.Scer.mock.30m.rep2,yH1053.Scer.mock.60m.rep1,yH1053.Scer.mock.60m.rep2
Q0110,3.318487275797123,3.31819061268202,3.453906324064852,3.5591482770407703,2.710842270314899,2.59629837395496,3.465890790729682,2.5082344435248034,2.76000387758991,3.1959826011114223,2.8352626521393973,3.34694273619442,3.4488537249766873,3.4722678378313048,3.5417694334969676,2.7012911877321604,3.6324690002581863,3.6533965168447287,3.524431540281509,3.8581670656162497,4.176997932382385,4.129161867721873,2.855266067292894,2.904256364299597,2.73214080934211,3.1854847278749725
Q0115,1.5354140174580546,1.5974917527390806,2.111540055754931,1.437639120454443,1.3399611329368573,1.336320417712328,1.4508969536534568,1.4455540331342982,1.4243806507784975,1.5136454674871673,1.421781044854665,1.7056065369312365,1.9550495962857748,1.7438493973347735,1.5235662976663227,1.4033723747986606,1.8458418678959252,1.8337178624849677,1.7951617918771565,1.7600446587257914,1.6781695155047898,1.6800103357986766,1.3690251707504573,1.7795435787727887,1.5447381297439973,1.6957363002091312
Q0120,2.1855019738976558,2.1532053183541664,2.6754485275026045,2.090664517359148,1.9065469026812982,2.0843212773722892,1.8083181413889187,2.1066569447781465,1.8840890972305786,1.8870223578804945,2.407377356893317,1.9550500349219806,2.226425280484228,1.9851679072364643,2.2423291669514738,2.2292804907300856,2.1028318341398555,2.0021481916058783,3.093083615603611,2.8135422871501956,2.7543031224028827,2.9278400341962163,1.7263240606934374,2.4148430948439867,2.020597407845922,2.00484896628866
Q0130,9.244880728516568,9.898946764165062,9.632384685966041,9.147910100738752,9.447501367132295,8.795146384045642,9.976405008327099,8.595280223004202,9.8763060385173,9.778022404513234,9.985032163746551,9.912816685236146,10.70956442717408,9.765489391755674,11.006309372587847,10.246851990242828,11.353899373049748,10.465884157153216,12.022747753142744,11.90040853322225,13.00557447395337,11.502120047018662,9.307416445766412,9.719195799068439,10.4971293495271,9.929439776718477
Q0140,5.466111287005044,5.133520986090488,5.4685963787086775,5.319935540939219,5.7793830278976195,5.2080211387288795,6.215350851300875,5.286609098136622,5.3838319359318865,5.7319341274324165,5.926178042687541,5.357975152352925,6.60667509573578,5.391460744297636,6.701095346337062,4.5146631383555995,6.817691212200801,5.539834839878282,6.590926846970574,6.487880170388892,7.348541710682757,6.161528481286848,4.032043375732635,6.090046523689313,5.374633613750539,5.755361554403335
Q0158,9.829331409825459,10.000731565397269,10.0338246117264,9.697045990356603,9.546998446045787,9.900317035878697,10.583126500301695,9.45936161183003,9.420382962283764,10.538260161453884,10.029441801295429,10.277335949242405,10.4622368732544,10.081778072715469,10.81491728749728,9.862095912027096,11.099728290747585,10.61876986892456,11.564212236471151,12.094212102021139,12.394733637708931,11.3841327096404,9.21252893794865,10.247726246473999,9.985770412541546,10.504951387167115
Q0160,8.334882789315579,9.07096937867929,9.552969594742176,8.52687801482079,8.058554067931398,7.585208304098853,9.00744235004867,7.140835716295529,7.96266622436244,9.196346535142315,8.655195549861363,8.916661107114283,9.01654263130027,8.485967530197714,8.825220234022755,7.8983696683965015,9.388502489334536,9.076277621231112,9.492356922242237,10.00248172250215,10.319054137577174,9.60030320603206,7.08759055464215,8.421103992332727,8.513199527755617,8.415203736023637
Q0250,1.0577454634696215,0.88019345063119,0.9700323936943601,0.9721265073696136,0.9754947575140108,0.7942013435458041,0.7996940971424664,1.2048676829215494,0.9573746313845303,0.9597249509233671,1.0281548925167499,0.7865908231349115,1.083417387824565,1.0381508350924553,1.116740724420966,0.8615410929455887,0.8915909787723195,0.9732594890971756,1.1476857368713516,0.9140704736344271,0.8822369357501749,1.0429372800439738,0.8966861175879652,0.9803807278657345,0.9852939356585545,0.8890036774241282
Q0255,3.066249903864171,3.3610765914393927,3.6538078719708507,3.3352662535440545,3.6755261800517345,3.6001458763496337,3.619013535034349,3.3646313038025943,3.6915051547941142,3.018073688688255,3.3347857927014455,3.6305028902390983,3.119343530229547,3.3022218316423233,3.5970987298021764,3.366305499752266,3.357616272939589,3.6666566178008813,4.131132306937413,3.320957550722677,3.95644825397241,3.888734104437871,3.9215084633081396,3.5943935463049583,3.7616209881855034,3.3448881889682323
Q0275,0.17841340974881875,0.1695105562373204,0.4101712460800576,0.17529891391960079,0.2639486654985573,0.17331489002912837,0.08471300360171959,0.1803302767819442,0.07915231809274795,0.24975954508505732,0.16528381543479437,0.0764792621143704,0.08674495849116119,0.08007353279703557,0.17287201388346143,0.15377258460238874,0.17912310795394742,0.08213451949092651,0.08497474954973955,0.29694713969809594,0.2544810817560709,0.404365401030372,0.19315012333068532,0.2683484830139461,0.18279315655218592,0.17694114410969394
