gene_id,yH545.Scer.noPi.0m.rep1,yH545.Scer.noPi.0m.rep2,yH545.Scer.noPi.0m.rep3,yH545.Scer.noPi.15m.rep1,yH545.Scer.noPi.15m.rep2,yH545.Scer.noPi.15m.rep3,yH545.Scer.noPi.30m.rep1,yH545.Scer.noPi.30m.rep2,yH545.Scer.noPi.30m.rep3,yH545.Scer.noPi.45m.rep1,yH545.Scer.noPi.45m.rep2,yH545.Scer.noPi.45m.rep3,yH545.Scer.noPi.60m.rep1,yH545.Scer.noPi.60m.rep2,yH545.Scer.noPi.60m.rep3,yH545.Scer.noPi.90m.rep1,yH545.Scer.noPi.90m.rep2,yH545.Scer.noPi.90m.rep3,yH545.Scer.noPi.120m.rep1,yH545.Scer.noPi.120m.rep2,yH545.Scer.noPi.120m.rep3,yH545.Scer.noPi.180m.rep1,yH545.Scer.noPi.180m.rep2,yH545.Scer.noPi.180m.rep3,yH545.Scer.noPi.240m.rep1,yH545.Scer.noPi.240m.rep2,yH545.Scer.noPi.240m.rep3,yH545.Scer.noPi.360m.rep1,yH545.Scer.noPi.360m.rep2,yH545.Scer.noPi.360m.rep3,yH545.Scer.noPi.480m.rep1,yH545.Scer.noPi.480m.rep2,yH545.Scer.noPi.480m.rep3,yH545.Scer.mock.30m.rep1,yH545.Scer.mock.30m.rep2,yH545.Scer.mock.30m.rep3,yH545.Scer.mock.60m.rep1,yH545.Scer.mock.60m.rep2,yH545.Scer.mock.60m.rep3
Q0110,2.467934203861668,1.9903237545198498,2.2047499756842712,2.0752393358872094,2.2384966193304496,2.174064159332539,2.1005730652042227,2.4523615004073327,2.2434228858987337,1.9359682175447468,2.0525236957139903,2.3065008104921954,2.19677108187756,2.043889533560253,2.357447112350437,2.0025879441040733,2.6386256597721363,2.161184316175297,2.4375141245309875,2.617574031904509,2.4395446941333607,2.339342701443771,2.3660818862893804,2.085095495982579,2.640323905235404,2.3658417205533526,3.121376040218744,2.3841894105355435,3.056809155011929,2.7792161619112545,2.5757229770122825,2.8622366979228215,3.5378462001605886,2.3268891257225794,2.201277369419782,3.0785134467871935,2.734419361219747,2.119018283921903,2.1364201498496334
Q0115,0.7609405341062643,0.7589085223350958,0.7602167936182722,0.9355447951995366,0.8163505742912643,0.7540102806338291,0.958317908274188,0.7423530992939515,1.0809771065796794,0.8190221062363341,1.127132476012044,0.7487068076349548,0.7585956780760186,0.7451223662868387,0.9123106840202042,0.8715438060860637,1.144517204533237,0.8448617361985674,0.7477755735762973,0.9396225316447231,0.7570433852503965,0.84976452355295,0.7576445678004498,0.8537805525725063,0.7503644892972995,0.8587459508585139,1.0506255356675882,1.073492668592066,1.4605813800388177,1.0132383416771058,0.840674957171403,1.449083606334725,1.432270771784244,0.7419216393577646,0.7439155887404606,1.298075388501338,0.8211939958994907,0.7430948308454464,0.9885837756092287
Q0120,1.1227430843310489,1.1178597485432649,1.121003813120161,1.270041720479954,1.0693547848309803,1.0103306964834418,1.1433139339062874,0.9965866298531134,1.4656515752156327,0.9937522341689364,1.0023658714497667,1.2514152724167753,1.0157347357847268,1.2355140985589055,1.1658533941176963,1.0212839840789836,1.0058264478035563,1.0072885422403794,1.0910848995174405,1.1943189481917154,1.0139054092491842,1.273106297043377,1.1148220092562662,1.7763790037117864,1.0973164257782708,1.0145710229029554,1.3031189448741634,1.3265038127537332,1.4849019693106396,1.0673010528047118,1.5151872749274051,1.4339011282606107,1.632911574953642,1.1517537158794142,1.623853463483005,1.312348266957188,1.2167763323199132,1.079805451636279,1.1677783279798115
Q0130,9.674860348107678,9.227678678291396,8.727838561476405,8.858215422826913,9.530515399008216,8.489946814922147,9.439887015155584,9.693923129269805,8.781225072182343,9.420477022194262,10.280157492831362,8.933960672477342,8.943658725457968,9.148310453117386,9.548612830000133,9.225265080090388,9.875511433808102,8.821834483713467,9.634920750969448,9.902840531472574,9.50268607575879,9.876866886386953,8.609090218596819,9.824837233342059,10.437113265279164,10.43943994554271,10.549387382157043,10.768024538101983,11.604905517729474,11.30594523865856,11.257456438253875,12.179417362122177,11.580350434888206,9.838948720409064,9.763413306616274,9.714468246285735,9.304744267046704,9.503618367533045,9.49896287017623
Q0140,4.970509903222511,3.8594099870166154,3.649936859630377,3.3037876098342878,3.5217877506595148,3.6542290307383114,3.8667970559323885,3.961068159436235,4.363502148066228,4.906119732316643,5.329090277202252,4.110006107638195,4.604651368477724,4.142022765752086,4.726568523988606,3.9155819638794362,4.721872920011616,3.761113454622672,4.348308390070841,5.1676864718299,3.5296844921084203,3.572527688424867,3.248588743736634,3.5112025303173127,4.430015370526674,4.295306809970526,4.736533464158088,5.4548999213856675,5.49532663299981,4.342120250454055,4.872418494738805,5.72850520750095,5.100474927263168,5.098746528456927,5.192973971965881,4.507937729480159,4.628926215258489,3.820762960168426,3.872255869914562
Q0158,9.633269940076795,9.337348764484249,8.8825616855645535,8.80189490850783,8.985165567667668,8.69035940498896,8.928362801504486,9.618604716770466,9.43816861369627,9.368004820200623,10.113610068359328,9.016804863787788,9.75255705034702,8.932528147367034,9.883196706424872,9.26290479730962,9.75834780672234,8.811332823211117,9.255921653529755,10.06474912801603,9.462827799688238,9.577890272013551,9.156737600113493,11.965997186420498,10.178758463333091,10.306558373248842,10.482195042086575,10.67448153125499,11.653119636130334,10.95679565581117,11.378810236622229,12.006529767745679,11.81344596554793,9.690742013705178,9.915684192049964,10.336713150927466,9.451397065175367,9.142499334857751,9.264567834666764
Q0160,7.891786743869206,7.514766346293695,7.5116424930467325,7.035534737733849,7.613202073131011,7.492464189421067,7.314514445592554,8.19680040471637,7.565459611040403,7.719371357673,8.177731206625053,7.561234808154998,7.793105648667997,7.52460893088316,8.138236617402159,7.2314871870961275,8.065559186868846,7.3612954269198605,7.749339249853935,7.961465244996159,7.9480218391887,7.890630738589721,7.258776701230703,7.78092837556766,8.611316791653149,8.151852399378567,9.082922466630233,8.828815013633804,10.261107084501038,9.449535913171898,9.462761048923493,10.116592809232696,10.546609341574216,8.093620427423728,8.069092343890055,8.760996083253387,7.553951959344805,7.462221206939343,7.650166454920534
Q0250,0.6896060765078186,0.684811325180383,0.5721691256467407,0.5641099995112862,0.5480286916538584,0.7705370749063619,0.7192395843766478,0.6449974977996783,0.7599829445727198,0.5493992243419867,0.8288748222865551,0.7519703045447813,0.6840715577333163,0.819276693465069,0.6537978214793698,0.8026538709404187,0.5610583165682959,0.5624485167415321,0.558339753008959,0.5654707406453559,0.7810712141549336,0.6722239105416679,0.5693466034175618,1.765698772424784,0.7577952879009527,0.7830266808037882,0.9604614566763773,0.9162465448110988,0.6728404861555182,0.6340600964658764,0.5603594799509384,1.260778803079301,0.9938676988044611,0.551670185120394,0.5539542234088473,0.5572954341100775,0.6414626939269463,0.553015615612294,0.5569092483810095
Q0255,3.5928495380108814,3.2677480665849368,3.5853069439090994,4.0981743653430875,3.9550353742505444,4.034070811907043,4.421968318436416,4.011817176209729,4.031705346672147,3.668026389720828,4.15486584212547,3.7382712333196153,3.426221061554455,3.591980736520307,3.8798194546776132,4.023006715598933,3.6539417749875858,3.9133265719841064,3.9054874303144973,3.4545206615006787,3.7356405439018396,3.8500613201567817,3.901700149253774,4.094243401880155,4.202892293090492,3.9496816266088968,3.9835477640866066,3.8875060749348447,3.5184021712325673,3.907941475556368,4.190655476780595,4.337437410112455,4.207002405778795,3.6494460267284548,4.194848175750953,3.502375438953556,3.7667548424478747,3.988871190257698,3.8876503375035765
Q0275,0.8630828988156014,0.5340224478657021,0.6539572553513853,0.5272993495493093,0.6009175124890923,0.5285315705226765,0.6027954384468022,0.5152607025912938,0.6313956923802941,0.5124885114735557,0.7147201111225739,0.6257609741585477,0.5336732250487662,0.7898960223847458,0.6189452506600986,0.6614326885180026,0.6294240522804347,0.5256183528011811,0.5214700651543587,0.6391399966495749,0.5319374688704872,0.7377809602787123,0.53261028960004,2.2481780533769595,0.6298569242964382,0.5325695969543596,0.7068697670139434,0.7230286236130185,0.9153961425211732,0.5101317778116174,0.723143673580201,1.2217244923825272,0.7270123780934311,0.6088587087276448,0.6138494350563573,0.6211644543229029,0.7700294772388558,0.5161138646903414,0.7120107368942489
Q0285,0.7266791810387081,0.8110621086404715,0.626971085505637,0.6211552140622886,0.811830449828158,0.8729483419042088,0.75148740602517,0.6128115708358214,0.9943474201683044,0.7528352685720379,0.7752212291002777,0.8516868828212295,0.6256759994030012,0.7686847351216209,0.771252548007168,0.7314703480656277,0.7050068074743907,0.7074981648453564,0.7001648585535163,0.7963727228248845,0.8053116945095999,0.6217061220135026,0.7200161870527843,0.7154847503470132,0.8583305816459684,0.6248880819981907,0.694820726393917,0.6184748304980768,0.7955392221573852,0.6093336865479899,0.7823204414639012,1.1175273820431415,0.9923630544507562,0.824490950388564,0.8955822418136175,0.7739907628409972,0.7557862162137835,0.690795339512478,0.6976328068133354
